# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPNCRNA.1330			non-coding RNA
SPNCRNA.1331			non-coding RNA
SPNCRNA.1332			non-coding RNA, possible alternative UTR
SPNCRNA.1333		SPNCRNA.299,SPNG1162	non-coding RNA
SPNCRNA.1334			non-coding RNA
SPNCRNA.1335			non-coding RNA
SPNCRNA.1336			non-coding RNA
SPNCRNA.1337			non-coding RNA
SPNCRNA.1338			non-coding RNA
SPNCRNA.1339			non-coding RNA
SPNCRNA.134			non-coding RNA
SPNCRNA.1340			non-coding RNA, possible alternative UTR
SPNCRNA.1342			non-coding RNA
SPNCRNA.1343	ncRNA.1343		bidirectional lncRNA of nc-tgp1, non-functional
SPNCRNA.1344			non-coding RNA
SPNCRNA.1345			non-coding RNA
SPNCRNA.1346			non-coding RNA
SPNCRNA.1348			non-coding RNA
SPNCRNA.1349			non-coding RNA, possible alternative UTR
SPNCRNA.135			non-coding RNA, probable 5' UTR of SPBC365.16
SPNCRNA.1350			non-coding RNA, possible alternative UTR
SPNCRNA.1351			non-coding RNA
SPNCRNA.1352			non-coding RNA
SPNCRNA.1353			non-coding RNA
SPNCRNA.1354			non-coding RNA
SPNCRNA.1355			non-coding RNA, possible alternative UTR
SPNCRNA.1356			non-coding RNA
SPNCRNA.1357			non-coding RNA
SPNCRNA.1358			non-coding RNA
SPNCRNA.1359			non-coding RNA, possible alternative UTR
SPNCRNA.136		SPNG12	non-coding RNA
SPNCRNA.1360			non-coding RNA
SPNCRNA.1361			non-coding RNA
SPNCRNA.1362			non-coding RNA
SPNCRNA.1363			non-coding RNA
SPNCRNA.1364			non-coding RNA
SPNCRNA.1365	cti6-antisense-1		antisense RNA (CUT) Cti6
SPNCRNA.1366	nam2		lncRNA nam2
SPNCRNA.1367			non-coding RNA, possible alternative UTR
SPNCRNA.1368			non-coding RNA
SPNCRNA.1369			non-coding RNA, possible alternative UTR
SPNCRNA.137		SPNG19	non-coding RNA
SPNCRNA.1370			non-coding RNA
SPNCRNA.1371			non-coding RNA
SPNCRNA.1373			non-coding RNA
SPNCRNA.1374			non-coding RNA
SPNCRNA.1375			non-coding RNA
SPNCRNA.1376			non-coding RNA
SPNCRNA.1377			non-coding RNA
SPNCRNA.1378			non-coding RNA, possible alternative UTR
SPNCRNA.1379		SPNCRNA.321,SPNG1260	non-coding RNA
SPNCRNA.1381			non-coding RNA
SPNCRNA.1382			non-coding RNA
SPNCRNA.1383			non-coding RNA
SPNCRNA.1384			non-coding RNA, possible alternative UTR
SPNCRNA.1385			non-coding RNA, possible alternative UTR
SPNCRNA.1386			non-coding RNA
